Entry,Hydrolase,Receptor,Structural protein,Transcription factor,Transport protein
Q9NUL7,1,0,0,0,0
Q8N7P3,0,0,1,0,0
Q8IYS5,0,1,0,0,0
Q9NVV5,1,0,0,0,0
Q92484,1,0,0,0,0
Q8WYL5,1,0,0,0,0
Q76I76,1,0,0,0,0
Q8TE77,1,0,0,0,0
P39210,0,0,0,0,1
A8MTJ6,0,0,0,1,0
Q9BW92,1,0,0,0,0
P53041,1,0,0,0,0
Q86W26,1,0,0,0,0
P17040,0,0,0,1,0
Q6ZMY9,0,0,0,1,0
Q5CZA5,0,0,0,1,0
Q86WK9,0,1,0,1,0
Q08357,0,1,0,0,1
Q8NG92,0,1,0,0,0
Q99661,1,0,0,0,0
Q53TN4,0,0,0,0,1
P15313,0,0,0,0,1
Q13868,1,0,0,0,0
O15432,0,0,0,0,1
Q53F39,1,0,0,0,0
Q15858,0,0,0,0,1
Q9NV96,0,0,1,0,1
P51815,0,0,0,1,0
P48052,1,0,0,0,0
O60806,0,0,0,1,0
Q9BRG1,0,0,1,0,0
Q2M3X9,0,0,0,1,0
P17483,0,0,0,1,0
Q9NPG1,0,1,0,0,0
P10588,0,1,0,1,0
P10589,0,1,0,1,0
P24468,0,1,0,1,0
P51795,0,0,0,0,1
Q9Y692,0,0,0,1,0
O95832,0,0,1,0,0
Q9NS67,0,1,0,0,0
P28907,1,0,0,0,0
P15531,1,0,0,0,0
A1YPR0,0,0,0,1,0
Q96DG6,1,0,0,0,0
Q96FC9,1,0,0,0,0
A8MPP1,1,0,0,0,0
Q14524,0,0,0,0,1
P08173,0,1,0,0,0
Q12791,0,0,0,0,1
P48751,0,0,0,0,1
Q6IEZ7,0,1,0,0,0
Q8NH02,0,1,0,0,0
O00398,0,1,0,0,0
P22392,0,0,0,1,0
Q9P0J6,0,0,1,0,0
P04156,0,1,0,0,0
Q13423,0,0,0,0,1
Q8N148,0,1,0,0,0
Q8NHC5,0,1,0,0,0
Q8NBW4,0,0,0,0,1
Q8NGP0,0,1,0,0,0
P30968,0,1,0,0,0
Q8N635,1,0,0,0,0
O95471,0,0,1,0,0
Q8N6F1,0,0,1,0,1
Q6P280,0,0,0,1,0
Q9BZJ7,0,1,0,0,0
Q9NS66,0,1,0,0,0
Q8NDH3,1,0,0,0,0
P51798,0,0,0,0,1
Q96R54,0,1,0,0,0
P60893,0,1,0,0,0
O00421,0,1,0,0,0
O60683,0,0,0,0,1
P21145,0,0,1,0,0
P28360,0,0,0,1,0
Q9NUN7,1,0,0,0,0
P24347,1,0,0,0,0
Q9H324,1,0,0,0,0
P11586,1,0,0,0,0
Q5T2D2,0,1,0,0,0
P62899,0,0,1,0,0
P12319,0,1,0,0,0
O94898,0,1,0,0,0
Q2TV78,1,0,0,0,0
Q8TDE3,1,0,0,0,0
Q9H1E1,1,0,0,0,0
Q9H4K7,1,0,0,0,0
P29322,0,1,0,0,0
P31431,0,1,0,0,0
Q9H8H2,1,0,0,0,0
Q9BVQ7,1,0,0,0,0
Q9H0R5,1,0,0,0,0
P32456,1,0,0,0,0
Q8NGP2,0,1,0,0,0
Q8NGG0,0,1,0,0,0
P10586,1,1,0,0,0
Q7Z4Y8,0,0,0,0,1
P25189,0,0,1,0,0
Q9NS87,1,0,0,0,0
P51170,0,0,0,0,1
P31939,1,0,0,0,0
Q9C0K1,0,0,0,0,1
Q8IZA3,0,0,1,0,0
Q6UW56,0,0,0,0,1
P62750,0,0,1,0,0
P10916,0,0,1,0,0
P05976,0,0,1,0,0
Q6UWU2,1,0,0,0,0
P08590,0,0,1,0,0
Q99928,0,1,0,0,1
Q96A32,0,0,1,0,0
Q9ULC6,1,0,0,0,0
Q9UPR5,0,0,0,0,1
O00743,1,0,0,0,0
P82650,0,0,1,0,0
Q8WXS8,1,0,0,0,0
P04004,0,0,1,0,0
Q9NX62,1,0,0,0,0
P25021,0,1,0,0,0
Q96HZ4,0,0,0,1,0
Q96MU8,0,1,0,0,0
O14579,0,0,1,0,0
Q9BYK8,1,0,0,0,0
Q96H86,0,0,0,1,0
Q2VWP7,0,1,0,0,0
P0C7X2,0,0,0,1,0
O00220,0,1,0,0,0
Q9NYQ6,0,1,0,0,0
Q96CS4,0,0,0,1,0
Q01780,1,0,0,0,0
P30536,0,1,0,0,1
Q6P5R6,0,0,1,0,0
Q9Y4D7,0,1,0,0,0
Q8NCK3,0,0,0,1,0
Q9Y6Q6,0,1,0,0,0
Q5FYB0,1,0,0,0,0
P62263,0,0,1,0,0
Q86UV5,1,0,0,0,0
Q8N8L6,1,0,0,0,0
Q8TF47,0,0,0,1,0
P56199,0,1,0,0,0
Q13261,0,1,0,0,0
P39059,0,0,1,0,0
Q9Y6C2,0,0,1,0,0
Q8WUG5,0,1,0,0,1
O43677,0,0,0,0,1
Q6GMR7,1,0,0,0,0
Q8N4V1,0,0,0,0,1
Q6P1K1,0,0,0,0,1
P26373,0,0,1,0,0
P05362,0,1,0,0,0
Q5TA89,0,0,0,1,0
O00155,0,1,0,0,0
Q8IXF0,0,0,0,1,0
Q8N370,0,0,0,0,1
O75387,0,0,0,0,1
A0A286YEU6,0,1,0,0,0
Q13332,1,0,0,0,0
P20333,0,1,0,0,0
Q9ULX3,1,0,0,0,0
Q6P4Q7,0,0,0,0,1
P35268,0,0,1,0,0
Q9H008,1,0,0,0,0
Q8NFM7,0,1,0,0,0
Q9UBX1,1,0,0,0,0
O95436,0,0,0,0,1
P13945,1,1,0,0,0
A6NI73,0,1,0,0,0
P39060,0,0,1,0,0
Q9H0T7,1,0,0,0,0
Q9BYN7,0,0,0,1,0
Q9NY46,0,0,0,0,1
P56817,1,0,0,0,0
Q9H171,1,0,0,0,0
Q8NDX6,0,0,0,1,0
O14610,1,0,0,0,0
P62913,0,0,1,0,0
Q92806,0,0,0,0,1
Q969W8,0,0,0,1,0
O75503,1,0,0,0,0
Q7Z3C6,0,0,0,0,1
Q8NHC6,0,1,0,0,0
Q9Y226,0,0,0,0,1
O75964,0,0,0,0,1
Q9UBN4,0,0,0,0,1
Q9BU02,1,0,0,0,0
Q9NQX6,0,0,0,1,0
P49802,1,0,0,0,0
P49758,1,0,0,0,0
Q8N184,0,0,0,1,0
Q9UM07,1,0,0,0,0
Q96PD5,1,1,0,0,0
Q86WP2,0,0,0,1,0
Q5TFE4,1,0,0,0,0
Q9Y5U5,0,1,0,0,0
Q00610,0,0,1,0,0
P53675,0,0,1,0,0
Q9Y235,1,0,0,0,0
P05981,1,0,0,0,0
P35749,0,0,1,0,0
Q16651,1,0,0,0,0
P32320,1,0,0,0,0
Q96RN1,0,0,0,0,1
Q5HY98,0,0,0,1,0
Q9UL62,0,0,0,0,1
Q9UPM6,0,0,0,1,0
Q14088,1,0,0,0,0
Q7Z403,0,0,0,0,1
Q9BRJ9,0,0,0,1,0
Q13342,0,0,0,1,0
P04001,0,1,0,0,0
P04000,0,1,0,0,0
O43813,0,1,0,0,0
Q6GTS8,1,0,0,0,0
Q12797,0,0,1,0,0
P15328,0,1,0,0,0
P32247,0,1,0,0,0
Q8WXF5,0,0,1,0,0
O00470,0,0,0,1,0
O14770,0,0,0,1,0
Q0VG99,0,0,0,1,0
Q96T52,1,0,0,0,0
O15350,0,0,0,1,0
Q99250,0,0,0,0,1
Q96RE7,0,0,0,1,0
P48304,0,1,0,0,0
P00813,1,0,0,0,0
Q13547,1,0,0,0,0
P05451,0,1,0,0,0
P78347,0,0,0,1,0
Q86UP8,0,0,0,1,0
Q6EKJ0,0,0,0,1,0
Q5T619,0,0,0,1,0
Q9H254,0,0,1,0,0
Q8NGF0,0,1,0,0,0
Q70EK9,1,0,0,0,0
Q9NVC3,0,0,0,0,1
P52630,0,0,0,1,0
P40763,0,1,0,1,0
Q8TF42,1,0,0,0,0
Q92692,0,1,0,0,0
O43895,1,0,0,0,0
Q5JUK3,0,0,0,0,1
P08514,0,1,0,0,0
O60894,0,1,0,0,0
P15151,0,1,0,0,0
Q04844,0,1,0,0,1
Q92729,1,1,0,0,0
P54753,0,1,0,0,0
Q86U10,1,0,0,0,0
Q96GD0,1,0,0,0,0
Q9Y5Y7,0,1,0,0,0
Q9Y2G7,0,0,0,1,0
Q15286,1,0,0,0,0
Q12931,1,0,0,0,0
Q9BRR0,0,0,0,1,0
P48723,1,0,0,0,0
A6NMS3,0,1,0,0,0
Q8NG83,0,1,0,0,0
Q969J2,0,0,0,1,0
Q9NQ88,1,0,0,0,0
O00555,0,0,0,0,1
Q15878,0,0,0,0,1
O75487,0,1,0,0,0
Q14542,0,0,0,0,1
Q13724,1,0,0,0,0
Q16538,0,1,0,0,0
P05026,0,0,0,0,1
Q92504,0,0,0,0,1
O43246,0,0,0,0,1
P62701,0,0,1,0,0
Q8TD47,0,0,1,0,0
P22090,0,0,1,0,0
P22466,0,1,0,0,0
Q01974,0,1,0,0,0
P08236,1,0,0,0,0
P36269,1,0,0,0,0
Q5K4E3,1,0,0,0,0
Q9Y450,1,0,0,0,0
Q9BSD7,1,0,0,0,0
O14798,0,1,0,0,0
Q9NQZ7,1,0,0,0,0
P14410,1,0,0,0,0
O43451,1,0,0,0,0
P82930,0,0,1,0,0
Q13433,0,0,0,0,1
Q2M2H8,1,0,0,0,0
Q8TAQ5,0,0,0,1,0
Q9NRM0,0,0,0,0,1
P20933,1,0,0,0,0
O94910,0,1,0,0,0
O95248,1,0,0,0,0
P40259,0,1,0,0,0
Q99062,0,1,0,0,0
P57057,0,0,0,0,1
Q86V88,1,0,0,0,0
Q8IUS5,1,0,0,0,0
Q9HBH1,1,0,0,0,0
P0DKB6,0,0,0,0,1
Q15223,0,1,0,0,0
O75365,1,0,0,0,0
Q93096,1,0,0,0,0
Q6UXK5,0,1,0,0,0
Q16540,0,0,1,0,0
Q9Y5Y0,0,0,0,0,1
Q13467,0,1,0,0,0
P26842,0,1,0,0,0
Q9BU20,1,0,0,0,0
O15303,0,1,0,0,0
P35499,0,0,0,0,1
Q6ZVD7,0,0,0,1,0
Q96JA1,0,1,0,0,0
Q10586,0,0,0,1,0
P42263,0,1,0,0,1
Q5VU97,0,0,0,0,1
Q8IZK6,0,0,0,0,1
P17787,0,1,0,0,1
P51575,0,1,0,0,1
Q9UBR2,1,0,0,0,0
Q92581,0,0,0,0,1
B4DU55,0,0,0,1,0
P10242,0,0,0,1,0
Q5VSG8,1,0,0,0,0
Q13822,1,0,0,0,0
Q7RTY0,0,0,0,0,1
Q99687,0,0,0,1,0
A8K0S8,0,0,0,1,0
P49862,1,0,0,0,0
P30679,1,0,0,0,0
Q8NHV9,0,0,0,1,0
Q8NG08,1,0,0,0,0
Q8TCD5,1,0,0,0,0
P0DPK2,0,0,1,0,0
P0DPK5,0,0,1,0,0
P68431,0,0,1,0,0
Q71DI3,0,0,1,0,0
Q5TEC6,0,0,1,0,0
P84243,0,0,1,0,0
Q6NXT2,0,0,1,0,0
Q16695,0,0,1,0,0
P02790,0,0,0,0,1
Q494X3,0,0,0,1,0
Q86VE0,0,0,0,1,0
P38935,1,0,0,0,0
O15357,1,0,0,0,0
Q6PJF5,0,0,0,0,1
O95716,1,0,0,0,0
P56880,0,0,1,0,0
P56747,0,0,1,0,0
Q13635,0,1,0,0,0
Q86YT5,0,0,0,0,1
Q8NCV1,1,0,0,0,0
Q13496,1,0,0,0,0
P20336,1,0,0,0,0
O95182,0,0,0,0,1
Q76MJ5,1,0,0,0,0
Q96K78,0,1,0,0,0
P43320,0,0,1,0,0
Q9P0K8,0,0,0,1,0
Q9P2E2,1,0,0,0,0
P29972,0,0,0,0,1
Q6ZVK8,1,0,0,0,0
Q8N8V2,1,0,0,0,0
P32455,1,0,0,0,0
O75444,0,0,0,1,0
Q9ULG1,1,0,0,0,0
Q93075,1,0,0,0,0
Q9BXP2,0,0,0,0,1
Q9H5I5,0,0,0,0,1
Q16581,0,1,0,0,0
P55072,1,0,0,0,0
P49790,0,0,1,0,0
Q04864,0,0,0,1,0
P25490,0,0,0,1,0
Q9H4A4,1,0,0,0,0
Q96NU7,1,0,0,0,0
Q9C035,0,1,0,0,0
Q14839,1,0,0,0,0
Q9H9J2,1,0,0,0,0
Q8NGG1,0,1,0,0,0
O14978,0,0,0,1,0
Q16611,0,0,0,0,1
Q00978,0,0,0,1,0
O75976,1,0,0,0,0
Q13424,0,0,1,0,0
Q5S007,1,0,0,0,0
Q9P2S2,0,1,0,0,0
Q9Y330,0,0,0,1,0
O95202,0,0,0,0,1
Q96SU4,0,0,0,0,1
Q92764,0,0,1,0,0
A0PG75,0,0,0,0,1
Q9BXE9,0,1,0,0,0
Q8N427,1,0,0,0,0
Q8N7X0,1,0,0,0,0
Q99497,1,0,0,0,0
Q9H4I2,0,0,0,1,0
Q9Y6X8,0,0,0,1,0
O14782,1,0,0,0,0
O14522,1,1,0,0,0
Q5HYI8,1,0,0,0,0
Q9Y233,1,0,0,0,0
Q86UK0,1,0,0,0,1
O00168,0,0,0,0,1
P57739,0,0,1,0,1
Q9BT81,0,0,0,1,0
Q9BRC7,1,0,0,0,0
Q9UHL0,1,0,0,0,0
Q9Y3R4,1,0,0,0,0
O60895,0,1,0,0,0
P78371,1,0,0,0,0
P35462,0,1,0,0,0
Q13501,0,1,0,0,0
Q6P5W5,0,0,0,0,1
P17538,1,0,0,0,0
P42658,1,0,0,0,0
Q6Q788,0,0,0,0,1
O14493,0,1,1,0,1
P48643,1,0,0,0,0
Q96LX8,0,0,0,1,0
O15391,0,0,0,1,0
Q96M93,1,0,0,0,0
Q13950,0,0,0,1,0
P10276,0,1,0,1,0
Q99594,0,0,0,1,0
P41182,0,0,0,1,0
P18825,0,1,0,0,0
Q13021,0,0,1,0,0
P00915,1,0,0,0,0
P0DPD8,1,0,0,0,0
Q92820,1,0,0,0,0
P50897,1,0,0,0,0
Q9UL19,1,0,0,0,0
Q16877,1,0,0,0,0
P51810,0,1,0,0,0
O75899,0,1,0,0,0
O75884,1,0,0,0,0
P35548,0,0,0,1,0
O43194,0,1,0,0,0
Q8NGH8,0,1,0,0,0
O75820,0,0,0,1,0
Q8N4N8,1,0,0,0,0
Q6QNY0,0,0,0,0,1
A0A1B0GTS1,0,0,0,1,0
A0A1B0GWH4,0,0,0,1,0
Q92968,0,0,0,0,1
O95670,1,0,0,0,1
O75348,1,0,0,0,1
Q96PD2,0,1,0,0,0
Q5JUK2,0,0,0,1,0
Q14994,0,1,0,1,0
P20339,1,0,0,0,0
P19484,0,0,0,1,0
O15372,1,0,0,0,0
P28328,0,0,0,0,1
Q02045,0,0,1,0,0
P10606,0,0,0,0,1
Q96GC6,0,0,0,1,0
Q9UKY1,0,0,0,1,0
Q9BYZ8,0,1,0,0,0
O14561,0,0,1,0,0
Q7Z5H5,0,1,0,0,0
Q9BXG8,0,0,0,1,0
Q7KZF4,1,0,0,0,0
Q8TBJ5,0,0,0,1,0
O75381,0,0,0,0,1
Q9P0V9,1,0,0,0,0
Q9NX45,0,0,0,1,0
Q8TDD2,0,0,0,1,0
Q9Y530,1,0,0,0,0
Q16445,0,1,0,0,1
O95861,1,0,0,0,0
Q9BU19,0,0,0,1,0
Q2VWA4,0,0,0,1,0
Q63HM9,1,0,0,0,0
Q03518,1,0,0,0,1
Q6ZSI9,1,0,0,0,0
Q96FV2,1,0,0,0,0
P78383,0,0,0,0,1
P49683,0,1,0,0,0
P46663,0,1,0,0,0
P78369,0,0,1,0,1
O95500,0,0,1,0,0
Q96LW9,0,0,0,1,0
P43004,0,0,0,0,1
P51582,0,1,0,0,0
O95484,0,0,1,0,0
P11308,0,0,0,1,0
Q16600,0,0,0,1,0
Q8NGF8,0,1,0,0,0
P04259,0,0,1,0,0
P48668,0,0,1,0,0
P02538,0,0,1,0,0
Q9NY91,0,0,0,0,1
O43309,0,0,0,1,0
Q96GE5,0,0,0,1,0
Q9Y2A4,0,0,0,1,0
Q96L93,1,0,0,0,0
Q9NS39,1,0,0,0,0
Q9H8N7,0,0,0,1,0
O43808,0,0,0,0,1
P46063,1,0,0,0,0
P05386,0,0,1,0,0
Q7Z4H3,1,0,0,0,0
P20337,1,0,0,0,0
Q15024,1,0,0,0,0
Q9P0M9,0,0,1,0,0
Q15031,1,0,0,0,0
Q01433,1,0,0,0,0
P25686,0,0,0,0,1
P20265,0,0,0,1,0
P20264,0,0,0,1,0
P49335,0,0,0,1,0
P29144,1,0,0,0,0
Q9NTJ5,1,0,0,0,0
Q9H6X2,0,1,0,0,0
Q9H2W2,0,0,0,1,0
Q13351,0,0,0,1,0
Q92542,1,0,0,0,0
Q9Y5K2,1,0,0,0,0
P34931,1,0,0,0,0
Q99500,0,1,0,0,0
Q16670,0,0,0,1,0
O00139,1,0,0,0,0
P61106,1,0,0,0,0
Q9Y337,1,0,0,0,0
Q7Z2G1,0,0,1,0,0
O43414,1,0,0,0,0
Q9UPM9,0,1,0,0,0
P20700,0,0,1,0,0
O95125,0,0,0,1,0
P82675,0,0,1,0,0
Q9BTX1,0,0,1,0,0
Q9NUQ8,1,0,0,0,0
Q13183,0,0,0,0,1
Q9Y2I7,1,0,0,0,0
Q9UMR2,1,0,0,0,0
Q9NUU7,1,0,0,0,0
O15197,0,1,0,0,0
Q7RTR8,0,1,0,0,0
P49910,0,0,0,1,0
O00178,1,0,0,0,0
Q9UM63,0,0,0,1,0
Q9BSK2,0,0,0,0,1
P06213,0,1,0,0,0
P56748,0,0,1,0,0
P45880,0,0,0,0,1
P15259,1,0,0,0,0
P13056,0,1,0,1,0
P31641,0,0,0,0,1
Q8N434,0,0,0,0,1
A8K979,1,0,0,0,0
Q6P161,0,0,1,0,0
O00476,0,0,0,0,1
P42858,1,0,0,0,0
Q8WUM9,0,1,0,0,1
P16150,0,1,0,0,0
Q9H598,0,0,0,0,1
Q9C0A1,0,0,0,1,0
P29371,0,1,0,0,0
Q8N196,0,0,0,1,0
O75818,1,0,0,0,0
P36406,1,0,0,0,0
P30531,0,0,0,0,1
P13631,0,1,0,1,0
Q9HBZ2,0,0,0,1,0
O60231,1,1,0,0,0
Q92843,0,0,0,0,1
O00303,1,0,0,0,0
Q96CW5,0,0,1,0,0
Q9UKD1,0,0,0,1,0
Q9NQ90,0,0,0,0,1
Q92621,0,0,1,0,0
Q86Y34,0,1,0,0,0
Q8IY18,1,0,0,0,0
P22670,0,0,0,1,0
Q08AN1,0,0,0,1,0
O76013,0,0,1,0,0
Q13127,0,0,0,1,0
Q5VZP5,1,0,0,0,0
Q9Y614,0,0,1,0,0
Q92673,0,1,0,0,1
Q13887,0,0,0,1,0
Q14587,0,0,0,1,0
O14807,1,0,0,0,0
O15273,0,0,1,0,0
Q9NUN5,0,0,0,0,1
O15522,0,0,0,1,0
P0CG40,0,0,0,1,0
Q6NXR0,1,0,0,0,0
Q9NPY3,0,1,0,0,0
Q9GZM6,0,1,0,0,0
Q93034,0,1,0,0,1
Q9Y399,0,0,1,0,0
Q9UK23,1,0,0,0,0
O75356,1,0,0,0,0
Q03052,0,0,0,1,0
Q13555,1,0,0,0,0
P38919,1,0,0,0,0
P31269,0,0,0,1,0
Q86TI2,1,0,0,0,0
Q8NFJ5,0,1,0,0,0
O75808,1,0,0,0,0
Q6DJT9,0,0,0,1,0
P59535,0,1,0,0,0
O60304,0,0,0,1,0
Q01469,0,0,0,0,1
O95980,0,1,0,0,0
Q9Y230,1,0,0,0,0
P46821,0,0,1,0,0
Q96D96,0,0,0,0,1
Q6ZQN5,0,0,0,1,0
Q13884,0,0,1,0,0
Q9Y6G3,0,0,1,0,0
Q9NRX4,1,0,0,0,0
P0C869,1,0,0,0,0
O14678,1,0,0,0,1
Q63HK3,0,0,0,1,0
Q6P9G9,0,0,0,1,0
O00144,0,1,0,0,0
P51784,1,0,0,0,0
O95169,0,0,0,0,1
Q05215,0,0,0,1,0
Q9NUJ1,1,0,0,0,0
Q14562,1,0,0,0,0
Q9GZW5,0,0,0,1,0
Q9NVA2,1,0,0,0,0
Q9H307,0,0,1,0,0
Q9UKJ8,1,0,0,0,0
Q86Y25,0,0,0,1,0
Q86Y91,1,0,0,0,0
Q8NF99,0,0,0,1,0
P78346,1,0,0,0,0
Q13241,0,1,0,0,0
Q9BZD7,1,0,0,0,0
Q13410,0,1,0,0,0
O75787,0,1,0,0,0
O43506,1,0,0,0,0
P61247,0,0,1,0,0
Q8NB42,0,0,0,1,0
Q96NI8,0,0,0,1,0
Q8TBJ4,1,0,0,0,0
Q8NGI9,0,1,0,0,0
Q6UWR7,1,0,0,0,0
O75746,0,0,0,0,1
Q9BQ48,0,0,1,0,0
Q8N819,1,0,0,0,0
Q9UQ90,1,0,0,0,0
P27658,0,0,1,0,0
Q99758,1,0,0,0,1
O75251,0,0,0,0,1
A8MT65,0,0,0,1,0
Q7Z3H4,0,0,0,1,0
Q9UI36,0,0,0,1,0
Q9NY47,0,0,0,0,1
Q14432,1,1,0,1,0
P21796,0,0,0,0,1
P14616,0,1,0,0,0
Q5VUY2,1,0,0,0,0
Q01726,0,1,0,0,0
P23396,0,0,1,1,0
P43246,1,0,0,0,0
P46736,1,0,0,0,0
P78367,0,0,0,1,0
Q6ZN44,0,1,0,0,0
Q96NX9,0,0,0,1,0
Q8N9F8,0,0,0,1,0
Q9ULQ1,0,0,0,0,1
O00515,0,0,1,0,0
O14981,1,0,0,0,0
Q9P1P5,0,1,0,0,0
Q92643,1,0,0,0,0
Q9UL59,0,0,0,1,0
E7ETH6,0,0,0,1,0
Q9H993,1,0,0,0,0
Q9BZD2,0,0,0,0,1
P51692,0,0,0,1,0
Q9NQE7,1,0,0,0,0
Q12800,0,0,0,1,0
P13612,0,1,0,0,0
Q96R28,0,1,0,0,0
A3KFT3,0,1,0,0,0
Q8NG81,0,1,0,0,0
Q6UXN2,0,1,0,0,0
Q16819,1,0,0,0,0
P57103,0,0,0,0,1
O14931,0,1,0,0,0
Q9UBD6,0,0,0,0,1
Q8NCC5,0,0,0,0,1
O95944,0,1,0,0,0
P30530,0,1,0,0,0
Q9ULV1,0,1,0,0,0
Q9H300,1,0,0,0,0
Q02127,1,0,0,0,0
C9JDP6,0,0,1,0,0
Q08334,0,1,0,0,0
Q96R72,0,1,0,0,0
Q8N357,0,0,0,0,1
Q70EK8,1,0,0,0,0
Q9NZI7,0,0,0,1,0
P61019,1,0,0,0,0
Q96MR9,0,0,0,1,0
O15342,0,0,0,0,1
O15143,0,0,1,0,0
Q92769,1,0,0,0,0
Q6MZZ7,1,0,0,0,0
Q9Y2T3,1,0,0,0,0
Q2M1V0,0,0,0,1,0
P0C617,0,1,0,0,0
P15090,0,0,0,0,1
P68032,1,0,0,0,0
P68133,1,0,1,0,0
P60660,0,0,1,0,0
Q8TE56,1,0,0,0,0
O14775,1,0,0,0,0
Q02556,0,0,0,1,0
P62736,1,0,0,0,0
P63267,1,0,0,0,0
Q70CQ2,1,0,0,0,0
Q92753,0,1,0,1,0
P35452,0,0,0,1,0
Q504Y0,0,0,0,0,1
Q99680,0,1,0,0,0
O75608,1,0,0,0,0
O95372,1,0,0,0,0
P35030,1,0,0,0,0
Q8NFK1,0,0,0,0,1
Q96FZ2,1,0,0,0,0
Q9ULL4,0,1,0,0,0
P29460,0,1,0,0,0
A6NNY8,1,0,0,0,0
O15539,1,0,0,0,0
P49798,1,0,0,0,0
Q04741,0,0,0,1,0
Q0P5N6,1,0,0,0,0
Q9Y277,0,0,0,0,1
Q9BV47,1,0,0,0,0
Q8NH07,0,1,0,0,0
Q8NG94,0,1,0,0,0
B2RN74,0,1,0,0,0
Q9UNW8,0,1,0,0,0
P12980,0,0,0,1,0
Q8IV45,1,1,0,0,0
O15547,0,1,0,0,1
P21589,1,0,0,0,0
Q5JW98,0,0,0,0,1
Q8NH67,0,1,0,0,0
Q6ICL7,0,0,0,0,1
O15492,1,0,0,0,0
Q8NAG6,1,0,0,0,0
Q8NGH3,0,1,0,0,0
Q8NGX1,0,1,0,0,0
Q8NH03,0,1,0,0,0
Q96HD9,1,0,0,0,0
Q6EMK4,0,1,0,0,0
P17275,0,0,0,1,0
P43489,0,1,0,0,0
Q9H3Z7,1,0,0,0,0
Q24JQ0,0,0,0,0,1
Q8NGY3,0,1,0,0,0
Q13324,0,1,0,0,0
Q6UY18,0,1,0,0,0
Q9Y4P1,1,0,0,0,0
Q13422,0,0,0,1,0
O94844,1,0,0,0,0
O60284,0,0,0,1,0
P78337,0,0,0,1,0
Q8N5C1,0,0,0,0,1
Q9H175,0,0,0,1,0
Q8N661,1,0,0,0,0
Q15365,0,0,0,1,0
Q99712,0,0,0,0,1
P07951,0,0,1,0,0
P09493,0,0,1,0,0
P21506,0,0,0,1,0
O15438,1,0,0,0,1
P00750,1,0,0,0,0
O14764,0,1,0,0,1
Q9HBH0,1,0,0,0,0
Q587J8,0,0,1,0,0
Q7Z7M1,0,1,0,0,0
Q7Z5M8,1,0,0,0,0
Q9UL51,0,0,0,0,1
Q8TB61,0,0,0,0,1
A6NND4,0,1,0,0,0
Q9Y6W3,1,0,0,0,0
Q8TA94,0,0,0,1,0
Q13520,0,0,0,0,1
Q96BA8,0,0,0,1,0
Q7RTS3,0,0,0,1,0
Q9BYR6,0,0,1,0,0
Q9BYR7,0,0,1,0,0
Q9HAV5,0,1,0,0,0
P29320,0,1,0,0,0
Q9BSG5,0,1,0,0,1
Q9Y345,0,0,0,0,1
A0A1W2PQ73,0,0,0,1,0
P98196,1,0,0,0,1
Q15935,0,0,0,1,0
Q9BZV2,0,0,0,0,1
P60709,1,0,1,0,0
Q8ND82,0,0,0,1,0
Q9H040,1,0,0,0,0
Q9BYX7,0,0,1,0,0
P0DN80,0,1,0,0,0
Q9NUM3,0,1,0,0,1
Q9P0U3,1,0,0,0,0
P62714,1,0,0,0,0
Q3LIE5,1,0,0,0,0
Q8TF32,0,0,0,1,0
Q9NZT2,0,1,0,0,0
Q7L8S5,1,0,0,0,0
Q8IYN0,0,0,0,1,0
P40426,0,0,0,1,0
Q9UI33,0,0,0,0,1
Q5TA50,0,0,0,0,1
Q12772,0,0,0,1,0
O60519,0,0,0,1,0
Q9HD42,1,0,0,0,0
Q7L1I2,0,0,0,0,1
P55211,1,0,0,0,0
Q8NGB9,0,1,0,0,0
Q15645,1,0,0,0,0
Q8TDG4,1,0,0,0,0
P08048,0,0,0,1,0
Q99743,0,0,0,1,0
P17010,0,0,0,1,0
Q9NP72,1,0,0,0,0
O43497,0,0,0,0,1
Q8N5A5,0,0,0,1,0
Q13615,1,0,0,0,0
Q9C0J9,0,0,0,1,0
Q9H2Y9,0,0,0,0,1
P67775,1,0,0,0,0
Q04206,0,0,0,1,0
P13797,0,0,1,0,0
Q6IQ20,1,0,0,0,0
P36956,0,1,0,1,0
P40424,0,0,0,1,0
P40425,0,0,0,1,0
P22001,0,0,0,0,1
Q9H2B4,0,0,0,0,1
Q9Y271,0,1,0,0,0
P31270,0,0,0,1,0
Q8N5P1,0,0,0,1,0
P01106,0,0,0,1,0
Q9H3M9,1,0,0,0,0
Q9NQR9,1,0,0,0,0
Q86UE6,0,1,0,0,0
P30939,0,1,0,0,0
P14384,1,0,0,0,0
O15062,0,0,0,1,0
Q13105,0,0,0,1,0
Q9BZF2,0,0,0,0,1
Q9NSN8,0,0,1,0,0
P38606,1,0,0,0,1
Q9NPA1,0,0,0,0,1
Q14790,1,0,0,0,0
P35900,0,0,1,0,0
Q6Q0C1,0,0,0,0,1
O60667,0,1,0,0,0
P47884,0,1,0,0,0
P58170,0,1,0,0,0
Q8N1N0,0,1,0,0,0
O95013,0,1,0,0,0
Q6IEY1,0,1,0,0,0
P41161,0,0,0,1,0
P50549,0,0,0,1,0
P34982,0,1,0,0,0
Q99929,0,0,0,1,0
B9EJG8,0,0,0,0,1
O00624,0,0,0,0,1
P28340,1,0,0,0,0
P48065,0,0,0,0,1
Q5T6V5,1,0,0,0,0
